game_number,winner_01,home,away,hscore,ascore
35,0,Arizona,Nevada-Las Vegas,72,67
47,0,Baylor,Hawaii,89,49
44,1,Brigham Young,Villanova,57,61
62,0,Central Florida,Florida,69,52
38,1,Colorado,Creighton,74,84
63,0,Connecticut,Mercer,83,38
36,0,Georgia,Dayton/DePaul,70,54
61,0,Indiana,Charlotte,85,51
37,0,Iowa State,Texas-Arlington,78,71
39,0,Iowa,Illinois State,98,58
49,0,Kansas,Georgia Tech,77,58
60,1,Kentucky,Princeton,62,69
53,0,Louisiana State,Jackson State,83,77
40,0,Louisville,Albany (NY),83,51
51,0,Maryland,Delaware,102,71
33,0,Miami (FL),South Florida,78,66
45,0,Michigan,American,74,39
46,1,Mississippi,South Dakota,61,75
41,1,Nebraska,Gonzaga,55,68
56,0,North Carolina State,Longwood/Mount St. Mary's,96,68
34,0,North Carolina,Stephen F. Austin,79,66
58,0,Notre Dame,Massachusetts,89,78
52,0,Ohio State,Florida State/Missouri State,63,56
59,0,Oklahoma,IUPUI,78,72
42,1,Oregon,Belmont,70,73
32,0,South Carolina,Howard/Incarnate Word,79,21
48,0,Stanford,Montana State,78,37
43,0,Tennessee,Buffalo,80,67
55,0,Texas,Fairfield,70,52
54,0,Utah,Arkansas,92,69
50,1,Virginia Tech,Florida Gulf Coast,81,84
57,1,Washington State,Kansas State,40,50
19,0,Creighton,Iowa,64,62
25,1,Florida Gulf Coast,Maryland,65,89
16,0,South Carolina,Miami (FL),49,33
27,1,Utah,Texas,56,78
23,0,South Dakota,Baylor,61,47
20,0,Louisville,Gonzaga,68,59
18,1,Georgia,Iowa State,44,67
24,0,Stanford,Kansas,91,65
28,0,North Carolina State,Kansas State,89,57
22,1,Villanova,Michigan,49,64
29,0,Notre Dame,Oklahoma,108,64
21,1,Belmont,Tennessee,67,70
30,1,Princeton,Indiana,55,56
26,0,Ohio State,Louisiana State,79,64
31,1,Central Florida,Connecticut,47,52
17,0,North Carolina,Arizona,63,45
8,0,South Carolina,North Carolina,69,61
13,1,Ohio State,Texas,63,66
9,1,Iowa State,Creighton,68,76
12,0,Stanford,Maryland,72,66
14,0,North Carolina State,Notre Dame,66,63
15,1,Indiana,Connecticut,58,75
10,0,Louisville,Tennessee,76,64
11,0,Michigan,South Dakota,52,49
